PheWAS_ID,broad_catagory,category,phenotype,range_ID,sex,field_code,QC_flag_ID,QC_filter_values,first_last_max_min_value,date_code,age_code,case_code,control_code,exclude_case_control_crossover,included_in_analysis,quant_combination,primary_care_code_list,limits,lower_limit,upper_limit,transformation,analysis,age_col,pheno_group,short_desc,group_narrow,concept_name,concept_description,Notes
P288.11,Phenotype,Phecode,Neutropenia,R_58,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Haematopoietic,Neutropenia (Phecode),Haematopoietic,NA,NA,NA
P288.2,Phenotype,Phecode,Elevated white blood cell count,R_58,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Haematopoietic,Elevated white blood cell count (Phecode),Haematopoietic,NA,NA,NA
P288.3,Phenotype,Phecode,Eosinophilia,R_58,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Haematopoietic,Eosinophilia (Phecode),Haematopoietic,NA,NA,NA
P289,Phenotype,Phecode,Other diseases of blood and blood-forming organs,R_58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Haematopoietic,Other diseases of blood and blood-forming organs (Phecode),Haematopoietic,NA,NA,NA
P289.1,Phenotype,Phecode,Myelofibrosis,R_58,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Haematopoietic,Myelofibrosis (Phecode),Haematopoietic,NA,NA,NA
P289.3,Phenotype,Phecode,Personal history of diseases of blood and blood-forming organs,R_58,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Haematopoietic,History of blood and blood-forming organs disease (Phecode),Haematopoietic,NA,NA,NA
P289.4,Phenotype,Phecode,Lymphadenitis,R_58,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Haematopoietic,Lymphadenitis (Phecode),Haematopoietic,NA,NA,NA
P289.5,Phenotype,Phecode,Diseases of spleen,R_58,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Haematopoietic,Diseases of spleen (Phecode),Haematopoietic,NA,NA,NA
P289.8,Phenotype,Phecode,"Polycythemia, secondary",R_59,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Haematopoietic,"Polycythemia, secondary (Phecode)",Haematopoietic,NA,NA,NA
P289.9,Phenotype,Phecode,Abnormality of red blood cells,R_58,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Haematopoietic,Abnormality of red blood cells (Phecode),Haematopoietic,NA,NA,NA
P290,Phenotype,Phecode,Delirium dementia and amnestic and other cognitive disorders,R_60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Delirium dementia and other cognitive disorders (Phecode),Psychiatric disorders,NA,NA,NA
P290.1,Phenotype,Phecode,Dementias,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Dementias (Phecode),Psychiatric disorders,NA,NA,NA
P290.11,Phenotype,Phecode,Alzheimer's disease,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Alzheimer's disease (Phecode),Psychiatric disorders,NA,NA,NA
P290.12,Phenotype,Phecode,Dementia with cerebral degenerations,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Dementia with cerebral degenerations (Phecode),Psychiatric disorders,NA,NA,NA
P290.13,Phenotype,Phecode,Senile dementia,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Senile dementia (Phecode),Psychiatric disorders,NA,NA,NA
P290.16,Phenotype,Phecode,Vascular dementia,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Vascular dementia (Phecode),Psychiatric disorders,NA,NA,NA
P290.2,Phenotype,Phecode,Delirium due to conditions classified elsewhere,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Delirium due to conditions classified elsewhere (Phecode),Psychiatric disorders,NA,NA,NA
P290.3,Phenotype,Phecode,Other persistent mental disorders due to conditions classified elsewhere,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Other mental disorders (classified elsewhere) (Phecode),Psychiatric disorders,NA,NA,NA
P291,Phenotype,Phecode,Other specified nonpsychotic and/or transient mental disorders,R_60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Other nonpsychotic mental disorders (Phecode),Psychiatric disorders,NA,NA,NA
P291.1,Phenotype,Phecode,Transient mental disorders due to conditions classified elsewhere,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Transient mental disorders (classified elsewhere) (Phecode),Psychiatric disorders,NA,NA,NA
P291.4,Phenotype,Phecode,Specific nonpsychotic mental disorders due to brain damage,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Nonpsychotic mental disorders due to brain damage (Phecode),Psychiatric disorders,NA,NA,NA
P291.8,Phenotype,Phecode,Alteration of consciousness,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Alteration of consciousness (Phecode),Psychiatric disorders,NA,NA,NA
P292,Phenotype,Phecode,Neurological disorders,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Neurological disorders (Phecode),Psychiatric disorders,NA,NA,NA
P292.1,Phenotype,Phecode,Aphasia/speech disturbance,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Aphasia/speech disturbance (Phecode),Psychiatric disorders,NA,NA,NA
P292.11,Phenotype,Phecode,Aphasia,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Aphasia (Phecode),Psychiatric disorders,NA,NA,NA
P292.12,Phenotype,Phecode,Symbolic dysfunction,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Symbolic dysfunction (Phecode),Psychiatric disorders,NA,NA,NA
P292.2,Phenotype,Phecode,Mild cognitive impairment,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Mild cognitive impairment (Phecode),Psychiatric disorders,NA,NA,NA
P292.3,Phenotype,Phecode,Memory loss,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Memory loss (Phecode),Psychiatric disorders,NA,NA,NA
P292.4,Phenotype,Phecode,Altered mental status,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Altered mental status (Phecode),Psychiatric disorders,NA,NA,NA
P292.5,Phenotype,Phecode,Transient alteration of awareness,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Transient alteration of awareness (Phecode),Psychiatric disorders,NA,NA,NA
P292.6,Phenotype,Phecode,Hallucinations,R_60,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Hallucinations (Phecode),Psychiatric disorders,NA,NA,NA
P293,Phenotype,Phecode,Symptoms involving head and neck,R_61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Symptoms involving head and neck (Phecode),Psychiatric disorders,NA,NA,NA
P293.1,Phenotype,Phecode,"Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]",R_61,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,"Swelling, mass, or lump in head and neck (Phecode)",Psychiatric disorders,NA,NA,NA
P295,Phenotype,Phecode,Schizophrenia and other psychotic disorders,R_62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Schizophrenia and other psychotic disorders (Phecode),Psychiatric disorders,NA,NA,NA
P295.1,Phenotype,Phecode,Schizophrenia,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Schizophrenia (Phecode),Psychiatric disorders,NA,NA,NA
P295.2,Phenotype,Phecode,Paranoid disorders,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Paranoid disorders (Phecode),Psychiatric disorders,NA,NA,NA
P295.3,Phenotype,Phecode,Psychosis,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Psychosis (Phecode),Psychiatric disorders,NA,NA,NA
P296,Phenotype,Phecode,Mood disorders,R_62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Mood disorders (Phecode),Psychiatric disorders,NA,NA,NA
P296.1,Phenotype,Phecode,Bipolar,R_62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Bipolar (Phecode),Psychiatric disorders,NA,NA,NA
P296.2,Phenotype,Phecode,Depression,R_62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Depression (Phecode),Psychiatric disorders,NA,NA,NA
P296.22,Phenotype,Phecode,Major depressive disorder,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Major depressive disorder (Phecode),Psychiatric disorders,NA,NA,NA
P297,Phenotype,Phecode,Suicidal ideation or attempt,R_62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Suicidal ideation or attempt (Phecode),Safety,NA,NA,NA
P297.1,Phenotype,Phecode,Suicidal ideation,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Suicidal ideation (Phecode),Safety,NA,NA,NA
P297.2,Phenotype,Phecode,Suicide or self-inflicted injury,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Suicide or self-inflicted injury (Phecode),Safety,NA,NA,NA
P300,Phenotype,Phecode,Anxiety disorders,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Anxiety disorders (Phecode),Psychiatric disorders,NA,NA,NA
P300.1,Phenotype,Phecode,Anxiety disorder,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Anxiety disorder (Phecode),Psychiatric disorders,NA,NA,NA
P300.11,Phenotype,Phecode,Generalized anxiety disorder,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Generalized anxiety disorder (Phecode),Psychiatric disorders,NA,NA,NA
P300.12,Phenotype,Phecode,"Agorophobia, social phobia, and panic disorder",R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,"Agorophobia, social phobia, and panic disorder (Phecode)",Psychiatric disorders,NA,NA,NA
P300.13,Phenotype,Phecode,Phobia,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Phobia (Phecode),Psychiatric disorders,NA,NA,NA
P300.2,Phenotype,Phecode,Generalized anxiety & phobic disorders,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Generalized anxiety & phobic disorders (Phecode),Psychiatric disorders,NA,NA,NA
P300.3,Phenotype,Phecode,Obsessive-compulsive disorders,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Obsessive-compulsive disorders (Phecode),Psychiatric disorders,NA,NA,NA
P300.4,Phenotype,Phecode,Dysthymic disorder,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Dysthymic disorder (Phecode),Psychiatric disorders,NA,NA,NA
P300.8,Phenotype,Phecode,Acute reaction to stress,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Acute reaction to stress (Phecode),Psychiatric disorders,NA,NA,NA
P300.9,Phenotype,Phecode,Posttraumatic stress disorder,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Posttraumatic stress disorder (Phecode),Psychiatric disorders,NA,NA,NA
P301,Phenotype,Phecode,Personality disorders,R_62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Personality disorders (Phecode),Psychiatric disorders,NA,NA,NA
P301.1,Phenotype,Phecode,Schizoid personality disorder,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Schizoid personality disorder (Phecode),Psychiatric disorders,NA,NA,NA
P301.2,Phenotype,Phecode,Antisocial/borderline personality disorder,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Antisocial/borderline personality disorder (Phecode),Psychiatric disorders,NA,NA,NA
P302,Phenotype,Phecode,Sexual and gender identity disorders,R_62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Sexual and gender identity disorders (Phecode),Psychiatric disorders,NA,NA,NA
P302.1,Phenotype,Phecode,Decreased libido,R_62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Decreased libido (Phecode),Psychiatric disorders,NA,NA,NA
P303,Phenotype,Phecode,Psychogenic and somatoform disorders,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Psychogenic and somatoform disorders (Phecode),Psychiatric disorders,NA,NA,NA
P303.1,Phenotype,Phecode,Dissociative disorder,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Dissociative disorder (Phecode),Psychiatric disorders,NA,NA,NA
P303.3,Phenotype,Phecode,Psychogenic disorder,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Psychogenic disorder (Phecode),Psychiatric disorders,NA,NA,NA
P303.31,Phenotype,Phecode,Gastrointestinal malfunction arising from mental factors,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,GI malfunction arising from mental factors (Phecode),Psychiatric disorders,NA,NA,NA
P303.4,Phenotype,Phecode,Somatoform disorder,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Somatoform disorder (Phecode),Psychiatric disorders,NA,NA,NA
P304,Phenotype,Phecode,Adjustment reaction,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Adjustment reaction (Phecode),Psychiatric disorders,NA,NA,NA
P305.2,Phenotype,Phecode,Eating disorder,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Eating disorder (Phecode),Psychiatric disorders,NA,NA,NA
P305.21,Phenotype,Phecode,Anorexia nervosa,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Anorexia nervosa (Phecode),Psychiatric disorders,NA,NA,NA
P306,Phenotype,Phecode,Other mental disorder,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Other mental disorder (Phecode),Psychiatric disorders,NA,NA,NA
P306.1,Phenotype,Phecode,Mental disorders durring/after pregnancy,R_62,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Mental disorders durring/after pregnancy (Phecode),Psychiatric disorders,NA,NA,NA
P306.9,Phenotype,Phecode,Tension headache,R_62,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Tension headache (Phecode),Psychiatric disorders,NA,NA,NA
P31,Phenotype,Phecode,Diseases due to other mycobacteria,R_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Infectious diseases,Diseases due to other mycobacteria (Phecode),Infectious diseases,NA,NA,NA
P31.1,Phenotype,Phecode,Leprosy,R_2,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Infectious diseases,Leprosy (Phecode),Infectious diseases,NA,NA,NA
P312,Phenotype,Phecode,Conduct disorders,R_63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Conduct disorders (Phecode),Psychiatric disorders,NA,NA,NA
P312.3,Phenotype,Phecode,Impulse control disorder,R_63,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Impulse control disorder (Phecode),Psychiatric disorders,NA,NA,NA
P313,Phenotype,Phecode,Pervasive developmental disorders,R_63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Pervasive developmental disorders (Phecode),Psychiatric disorders,NA,NA,NA
P313.1,Phenotype,Phecode,Attention deficit hyperactivity disorder,R_63,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Attention deficit hyperactivity disorder (Phecode),Psychiatric disorders,NA,NA,NA
P313.2,Phenotype,Phecode,Tics and stuttering,R_63,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Tics and stuttering (Phecode),Psychiatric disorders,NA,NA,NA
P313.3,Phenotype,Phecode,Autism,R_63,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Autism (Phecode),Psychiatric disorders,NA,NA,NA
P315,Phenotype,Phecode,Develomental delays and disorders,R_63,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Develomental delays and disorders (Phecode),Psychiatric disorders,NA,NA,NA
P315.1,Phenotype,Phecode,Learning disorder,R_63,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Learning disorder (Phecode),Psychiatric disorders,NA,NA,NA
P315.2,Phenotype,Phecode,Speech and language disorder,R_63,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Speech and language disorder (Phecode),Psychiatric disorders,NA,NA,NA
P315.3,Phenotype,Phecode,Mental retardation,R_63,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Mental retardation (Phecode),Psychiatric disorders,NA,NA,NA
P316,Phenotype,Phecode,Substance addiction and disorders,R_64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Substance addiction and disorders (Phecode),Safety,NA,NA,NA
P316.1,Phenotype,Phecode,Polyneuropathy due to drugs,R_64,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Polyneuropathy due to drugs (Phecode),Psychiatric disorders,NA,NA,NA
P317,Phenotype,Phecode,Alcohol-related disorders,R_64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Alcohol-related disorders (Phecode),Psychiatric disorders,NA,NA,NA
P317.1,Phenotype,Phecode,Alcoholism,R_64,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Alcoholism (Phecode),Psychiatric disorders,NA,NA,NA
P317.11,Phenotype,Phecode,Alcoholic liver damage,R_64,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Alcoholic liver damage (Phecode),Psychiatric disorders,NA,NA,NA
P318,Phenotype,Phecode,Tobacco use disorder,R_64,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Tobacco use disorder (Phecode),Psychiatric disorders,NA,NA,NA
P320,Phenotype,Phecode,Meningitis,R_65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Meningitis (Phecode),Neurological,NA,NA,NA
P323,Phenotype,Phecode,Encephalitis,R_65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Encephalitis (Phecode),Neurological,NA,NA,NA
P323.2,Phenotype,Phecode,Acute (transverse) myelitis,R_65,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Acute (transverse) myelitis (Phecode),Neurological,NA,NA,NA
P323.8,Phenotype,Phecode,"Encephalitis, non-infectious",R_65,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,"Encephalitis, non-infectious (Phecode)",Neurological,NA,NA,NA
P324,Phenotype,Phecode,Other CNS infection and poliomyelitis,R_65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Other CNS infection and poliomyelitis (Phecode),Neurological,NA,NA,NA
P324.1,Phenotype,Phecode,Jakob-Creutzfeldt disease,R_65,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Jakob-Creutzfeldt disease (Phecode),Neurological,NA,NA,NA
P325,Phenotype,Phecode,Phlebitis and thrombophlebitis of intracranial venous sinuses,R_65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Phlebitis of intracranial venous sinuses (Phecode),Neurological,NA,NA,NA
P327,Phenotype,Phecode,Sleep disorders,R_66,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Sleep disorders (Phecode),Neurological,NA,NA,NA
P327.1,Phenotype,Phecode,Hypersomnia,R_66,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Hypersomnia (Phecode),Neurological,NA,NA,NA
P327.3,Phenotype,Phecode,Sleep apnea,R_66,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Sleep apnea (Phecode),Neurological,NA,NA,NA
P327.31,Phenotype,Phecode,Central/nonobstroctive sleep apnea,R_66,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Central/nonobstroctive sleep apnea (Phecode),Neurological,NA,NA,NA
P327.32,Phenotype,Phecode,Obstructive sleep apnea,R_66,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Obstructive sleep apnea (Phecode),Neurological,NA,NA,NA
P327.4,Phenotype,Phecode,Insomnia,R_66,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Insomnia (Phecode),Neurological,NA,NA,NA
P327.41,Phenotype,Phecode,Organic or persistent insomnia,R_66,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Organic or persistent insomnia (Phecode),Neurological,NA,NA,NA
P327.5,Phenotype,Phecode,Parasomnia,R_66,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Parasomnia (Phecode),Neurological,NA,NA,NA
P327.6,Phenotype,Phecode,Circadian rhythm sleep disorder,R_66,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Circadian rhythm sleep disorder (Phecode),Neurological,NA,NA,NA
P327.7,Phenotype,Phecode,Sleep related movement disorders,R_66,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Sleep related movement disorders (Phecode),Neurological,NA,NA,NA
P327.71,Phenotype,Phecode,Restless legs syndrome,R_66,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Restless legs syndrome (Phecode),Neurological,NA,NA,NA
P327.72,Phenotype,Phecode,Sleep related leg cramps,R_66,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Sleep related leg cramps (Phecode),Neurological,NA,NA,NA
P331,Phenotype,Phecode,Other cerebral degenerations,R_67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Other cerebral degenerations (Phecode),Neurological,NA,NA,NA
P331.1,Phenotype,Phecode,Hydrocephalus,R_67,Both,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Hydrocephalus (Phecode),Neurological,NA,NA,NA
