PheWAS_ID,phenotype,broad_category,range_ID,Case/control,Control_N,Case_N,C_1,N_1,G_1a,G_1b,CBB_1,CBA_1,O_1,OBB_1,OBA_1,C_2,N_2,G_2a,G_2b,CBB_2,CBA_2,O_2,OBB_2,OBA_2,C_3,N_3,G_3a,G_3b,CBB_3,CBA_3,O_3,OBB_3,OBA_3,C_4,N_4,G_4a,G_4b,CBB_4,CBA_4
P2073,Irritable Bowel Syndrome (CP),Phenotype,R_0,control,control_1,NA,P5089,0,minf,inf,NB,NB,NOT,NB,NB,"C0103,P5089,C1007,C0104","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
C1005,IBS_criteria,Concept,NA,case,NA,case_1,P5093,1,minf,inf,NB,NB,AND,NB,NB,"P5094,P5095","1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
C1005,IBS_criteria,Concept,NA,case,NA,case_2,P5093,1,minf,inf,NB,NB,AND,NB,NB,"P5096,P5097","1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
C1005,IBS_criteria,Concept,NA,case,NA,case_3,"P5094,P5095","1,1",minf,inf,NB,NB,AND,NB,NB,"P5096,P5097","1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
C1007,IBS_Rome,Concept,NA,case,NA,case_1,P5090,1,minf,inf,NB,NB,AND,NB,NB,P5092,1,minf,inf,NB,NB,AND,NB,NB,C1005,1,minf,inf,NB,NB,NOT,NB,NB,"P5091,C0104","1,1",minf,inf,NB,NB
P2073.1,Irritable Bowel Syndrome (CP whole pop controls),Phenotype,R_0,case,NA,case_1,"C0103,P5089","1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2073.1,Irritable Bowel Syndrome (CP whole pop controls),Phenotype,R_0,case,NA,case_2,C1007,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2073.1,Irritable Bowel Syndrome (CP whole pop controls),Phenotype,R_0,control,control_1,NA,all_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0103,P5089,C1007,C0104","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2076,Chronic obstructive pulmonary disease  (spirometry GOLD1+),Phenotype,R_0,case,NA,case_1,Q0123,0,minf,inf,NB,NB,NOT,NB,NB,Q0123,0.7,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2076,Chronic obstructive pulmonary disease  (spirometry GOLD1+),Phenotype,R_0,control,control_1,NA,Q0123,0.7,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
